Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[270/1010] 	| 90.21 | 98.52 | 60.91 | 86.21 |
[271/1010] 	| 90.91 | 98.45 | 62.00 | 84.72 |
[272/1010] 	| 91.46 | 98.80 | 62.40 | 88.00 |
[273/1010] 	| 91.44 | 98.48 | 60.12 | 85.81 |
[274/1010] 	| 91.77 | 98.55 | 59.72 | 85.12 |
[275/1010] 	| 91.13 | 98.54 | 58.63 | 84.42 |
[276/1010] 	| 90.59 | 98.68 | 59.62 | 85.22 |
[277/1010] 	| 91.66 | 98.67 | 62.90 | 86.31 |
[278/1010] 	| 91.21 | 98.47 | 63.00 | 86.11 |
[279/1010] 	| 91.94 | 98.71 | 60.81 | 87.10 |
[280/1010] 	| 91.40 | 98.63 | 60.81 | 85.71 |
[281/1010] 	| 91.04 | 98.71 | 60.42 | 85.32 |
[282/1010] 	| 91.63 | 98.62 | 60.52 | 86.71 |
[283/1010] 	| 91.10 | 98.64 | 63.89 | 86.01 |
[284/1010] 	| 91.23 | 98.51 | 61.71 | 86.31 |
[285/1010] 	| 91.20 | 98.52 | 61.21 | 85.71 |
[286/1010] 	| 91.47 | 98.78 | 61.41 | 88.10 |
[287/1010] 	| 91.33 | 98.63 | 61.90 | 87.30 |
[288/1010] 	| 91.10 | 98.62 | 60.42 | 86.90 |
[289/1010] 	| 91.45 | 98.80 | 60.81 | 86.71 |
[290/1010] 	| 92.12 | 98.64 | 61.71 | 87.70 |
[291/1010] 	| 91.93 | 98.73 | 55.36 | 85.12 |
[292/1010] 	| 91.43 | 98.78 | 61.01 | 85.71 |
[293/1010] 	| 91.08 | 98.53 | 62.30 | 85.71 |
[294/1010] 	| 91.23 | 98.61 | 62.00 | 84.33 |
[295/1010] 	| 91.77 | 98.70 | 62.20 | 87.20 |
[296/1010] 	| 91.23 | 98.84 | 60.71 | 86.11 |
[297/1010] 	| 92.42 | 98.84 | 61.41 | 85.71 |
[298/1010] 	| 91.40 | 98.72 | 62.20 | 85.22 |
[299/1010] 	| 91.79 | 98.75 | 62.90 | 85.52 |
[300/1010] 	| 92.66 | 98.90 | 60.62 | 86.31 |
[301/1010] 	| 91.68 | 98.63 | 60.52 | 86.41 |
[302/1010] 	| 91.84 | 98.77 | 60.62 | 85.71 |
[303/1010] 	| 91.73 | 98.89 | 60.02 | 85.52 |
[304/1010] 	| 92.08 | 98.90 | 61.21 | 85.62 |
[305/1010] 	| 91.18 | 98.60 | 59.52 | 84.82 |
[306/1010] 	| 92.27 | 98.87 | 58.13 | 84.62 |
[307/1010] 	| 91.68 | 98.65 | 60.12 | 84.72 |
