Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[333/1010] 	| 70.94 | 94.15 | 44.35 | 79.86 |
[334/1010] 	| 68.19 | 93.21 | 45.83 | 76.49 |
[335/1010] 	| 65.31 | 91.79 | 46.23 | 78.67 |
[336/1010] 	| 70.95 | 94.06 | 47.62 | 78.67 |
[337/1010] 	| 71.69 | 94.54 | 47.72 | 79.86 |
[338/1010] 	| 71.49 | 94.48 | 46.03 | 78.17 |
[339/1010] 	| 71.47 | 94.14 | 46.83 | 78.37 |
[340/1010] 	| 70.73 | 94.28 | 46.13 | 78.27 |
[341/1010] 	| 70.12 | 93.51 | 44.15 | 77.48 |
[342/1010] 	| 68.93 | 93.06 | 49.31 | 78.87 |
[343/1010] 	| 70.56 | 94.08 | 46.83 | 78.67 |
[344/1010] 	| 71.07 | 94.11 | 43.85 | 76.98 |
[345/1010] 	| 69.14 | 93.29 | 46.03 | 77.28 |
[346/1010] 	| 70.60 | 93.93 | 45.34 | 75.50 |
[347/1010] 	| 70.53 | 94.33 | 48.31 | 78.87 |
[348/1010] 	| 70.65 | 94.43 | 45.73 | 79.37 |
[349/1010] 	| 69.93 | 93.39 | 44.05 | 76.49 |
[350/1010] 	| 67.85 | 92.56 | 46.53 | 78.17 |
[351/1010] 	| 72.61 | 94.90 | 47.42 | 79.17 |
[352/1010] 	| 71.54 | 94.34 | 45.34 | 77.28 |
[353/1010] 	| 72.53 | 94.45 | 45.44 | 76.98 |
[354/1010] 	| 69.64 | 93.29 | 47.22 | 80.95 |
[355/1010] 	| 67.08 | 91.70 | 43.15 | 75.00 |
[356/1010] 	| 68.23 | 93.16 | 45.44 | 77.18 |
[357/1010] 	| 71.01 | 94.12 | 49.11 | 79.07 |
[358/1010] 	| 70.54 | 93.74 | 44.64 | 79.86 |
[359/1010] 	| 71.46 | 94.25 | 47.32 | 79.46 |
[360/1010] 	| 71.63 | 94.50 | 47.52 | 78.17 |
[361/1010] 	| 72.86 | 94.88 | 47.22 | 79.56 |
[362/1010] 	| 70.83 | 94.24 | 47.82 | 77.38 |
[363/1010] 	| 73.62 | 95.21 | 48.21 | 79.46 |
[364/1010] 	| 70.82 | 94.11 | 46.03 | 78.08 |
[365/1010] 	| 71.35 | 94.74 | 45.54 | 75.60 |
[366/1010] 	| 68.66 | 93.34 | 44.54 | 76.49 |
[367/1010] 	| 71.47 | 94.29 | 44.64 | 78.87 |
[368/1010] 	| 70.33 | 93.68 | 43.95 | 75.40 |
[369/1010] 	| 69.38 | 93.68 | 45.83 | 76.98 |
[370/1010] 	| 70.86 | 94.42 | 45.54 | 78.17 |
[371/1010] 	| 71.54 | 94.32 | 48.12 | 77.08 |
[372/1010] 	| 70.97 | 94.60 | 46.03 | 77.58 |
[373/1010] 	| 74.31 | 95.32 | 45.63 | 77.58 |
[374/1010] 	| 71.86 | 93.91 | 46.13 | 77.68 |
[375/1010] 	| 73.90 | 95.56 | 46.43 | 76.88 |
[376/1010] 	| 72.30 | 94.66 | 46.23 | 77.48 |
[377/1010] 	| 72.50 | 94.74 | 46.73 | 79.27 |
[378/1010] 	| 72.08 | 94.63 | 45.93 | 77.88 |
[379/1010] 	| 72.43 | 94.73 | 46.33 | 78.47 |
[380/1010] 	| 73.11 | 95.24 | 45.83 | 76.88 |
[381/1010] 	| 71.79 | 94.96 | 45.34 | 78.08 |
[382/1010] 	| 68.46 | 92.98 | 45.34 | 79.56 |
[383/1010] 	| 70.24 | 93.95 | 44.84 | 76.79 |
[384/1010] 	| 73.60 | 95.31 | 45.44 | 78.87 |
[385/1010] 	| 71.32 | 94.60 | 44.84 | 75.20 |
[386/1010] 	| 72.80 | 94.80 | 48.02 | 79.46 |
[387/1010] 	| 75.65 | 96.05 | 44.94 | 78.17 |
[388/1010] 	| 75.27 | 95.65 | 45.83 | 78.87 |
[389/1010] 	| 75.29 | 95.52 | 49.11 | 78.97 |
[390/1010] 	| 71.49 | 94.33 | 44.64 | 77.18 |
[391/1010] 	| 72.04 | 94.56 | 45.44 | 78.57 |
[392/1010] 	| 72.79 | 95.04 | 46.23 | 80.75 |
[393/1010] 	| 75.63 | 96.04 | 44.64 | 76.59 |
[394/1010] 	| 75.28 | 95.63 | 44.84 | 80.65 |
[395/1010] 	| 74.40 | 95.50 | 41.77 | 74.21 |
[396/1010] 	| 72.35 | 94.46 | 47.92 | 78.17 |
[397/1010] 	| 75.77 | 96.02 | 44.74 | 77.78 |
[398/1010] 	| 73.87 | 95.33 | 46.03 | 78.37 |
[399/1010] 	| 73.31 | 94.98 | 43.06 | 74.60 |
[400/1010] 	| 72.72 | 94.76 | 45.63 | 76.98 |
[401/1010] 	| 75.93 | 95.87 | 47.02 | 78.87 |
[402/1010] 	| 75.36 | 95.62 | 45.83 | 77.58 |
