Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[370/1010] 	| 89.42 | 98.62 | 62.50 | 87.80 |
[371/1010] 	| 89.52 | 98.68 | 64.78 | 89.48 |
[372/1010] 	| 89.69 | 98.74 | 63.89 | 88.59 |
[373/1010] 	| 90.47 | 98.70 | 61.51 | 88.59 |
[374/1010] 	| 90.04 | 98.72 | 65.18 | 87.40 |
[375/1010] 	| 89.46 | 98.75 | 65.38 | 88.99 |
[376/1010] 	| 89.30 | 98.51 | 66.27 | 87.70 |
[377/1010] 	| 89.99 | 98.78 | 63.79 | 86.71 |
[378/1010] 	| 89.47 | 98.73 | 64.78 | 87.40 |
[379/1010] 	| 90.16 | 98.69 | 65.48 | 88.49 |
[380/1010] 	| 90.06 | 98.58 | 66.57 | 89.58 |
[381/1010] 	| 90.09 | 98.69 | 65.08 | 87.30 |
[382/1010] 	| 90.19 | 98.87 | 64.19 | 87.80 |
[383/1010] 	| 89.65 | 98.59 | 66.07 | 86.90 |
[384/1010] 	| 90.20 | 98.80 | 65.97 | 88.10 |
[385/1010] 	| 89.80 | 98.65 | 63.89 | 88.79 |
[386/1010] 	| 90.52 | 98.89 | 63.29 | 88.69 |
[387/1010] 	| 89.70 | 98.74 | 62.70 | 88.10 |
[388/1010] 	| 90.20 | 98.80 | 64.19 | 87.70 |
[389/1010] 	| 89.35 | 98.78 | 65.67 | 86.11 |
[390/1010] 	| 89.52 | 98.65 | 65.28 | 87.40 |
[391/1010] 	| 89.94 | 98.79 | 63.69 | 87.50 |
[392/1010] 	| 90.29 | 98.84 | 62.80 | 89.48 |
[393/1010] 	| 90.01 | 98.63 | 63.39 | 86.61 |
[394/1010] 	| 91.25 | 99.01 | 62.70 | 87.10 |
[395/1010] 	| 90.66 | 98.93 | 64.38 | 88.49 |
[396/1010] 	| 89.62 | 98.69 | 63.49 | 88.00 |
[397/1010] 	| 90.61 | 99.01 | 63.59 | 87.20 |
[398/1010] 	| 90.49 | 98.82 | 63.59 | 86.31 |
[399/1010] 	| 90.55 | 98.79 | 66.27 | 88.49 |
[400/1010] 	| 91.18 | 98.98 | 63.99 | 89.09 |
[401/1010] 	| 90.93 | 98.89 | 63.79 | 88.29 |
[402/1010] 	| 89.98 | 98.81 | 64.09 | 88.89 |
